"","PID","SAS_Mean"
"1",2002,2.5
"2",2005,1.9
"3",NA,NA
"4",2001,2.8
"5",2004,1
"6",2003,1.7
"7",3001,3.2
"8",3002,2
"9",NA,3.6
"10",3004,2.7
"11",NA,3.8
"12",NA,3.8
"13",1002,1
"14",2006,1.6
"15",1005,1
"16",1006,1.6
"17",1018,NA
"18",1011,2
"19",NA,2.6
"20",1009,4.6
"21",1017,NA
"22",1003,2.3
"23",2007,1.3
"24",NA,3.3
"25",1007,1
"26",1014,1
"27",1008,1.3
"28",NA,1
"29",3003,4
"30",NA,4.5
"31",1004,2.4
"32",1015,1
"33",NA,2.2
"34",NA,2.6
"35",NA,NA
"36",1012,1.1
"37",2009,1.8
"38",3010,2.8
"39",1016,1
"40",3017,4.3
"41",3014,3.5
"42",3011,1.4
"43",NA,3.4
"44",3013,3.7
"45",3016,2.4
"46",NA,3.3
"47",3020,2
"48",3022,3.3
"49",3015,3.2
"50",3043,3.5
"51",NA,3.4
"52",NA,2.9
"53",3055,2.1
"54",3044,2.9
"55",3041,2.7
"56",3039,3
"57",3050,2.7
"58",3030,3.5
"59",3023,3
"60",3045,3.6
"61",3032,3.4
"62",3054,3.5
"63",3059,3.3
"64",3061,1.4
"65",3053,3.3
"66",3037,2.9
"67",3046,3.3
"68",3058,NA
"69",3034,2.5
"70",3062,3.4
"71",3052,2.6
"72",3031,3.5
"73",3038,3.2
"74",1021,1
"75",3036,3.3
"76",3029,3.3
"77",3049,2.8
"78",3024,2.3
"79",3026,3.2
"80",3028,3.1
"81",3027,3.1
"82",3025,3.7
"83",3048,1.9
"84",3033,3.5
"85",3040,4.5
"86",3035,3
"87",3057,2.1
"88",3056,3
"89",1019,1
"90",1020,NA
"91",3064,3.2
"92",3042,3.3
"93",3047,3.2
"94",3051,1.5
"95",3114,4.3
"96",3063,3.9
"97",3065,2.7
"98",3074,2.3
"99",3068,3.1
"100",3067,3.6
"101",3066,2.9
"102",2010,2.4
"103",3060,2.2
"104",3071,3.9
"105",3095,2.9
"106",3078,2.7
"107",3088,2.7
"108",3079,3.2
"109",3111,2.9
"110",3075,2.8
"111",3080,3.4
"112",3082,3.1
"113",3083,2.8
"114",3087,3.9
"115",3081,3.2
"116",3089,3.4
"117",3084,2.7
"118",3097,4
"119",3073,2.5
"120",3085,3.1
"121",3090,2.5
"122",3076,2.3
"123",3069,2.5
"124",3096,3
"125",3110,3.2
"126",3115,2.4
"127",1022,3.1
"128",1023,2.2
"129",1024,1.1
"130",1025,NA
"131",1026,NA
"132",3093,2.8
"133",3103,2.6
"134",3102,2.4
"135",3070,2.7
"136",2011,3.1
"137",2012,2.2
"138",2013,2.3
"139",3077,2.3
"140",3092,2.5
"141",3072,2
"142",3104,2.6
"143",3107,3.8
"144",3106,2.6
"145",3098,3.2
"146",3117,3.8
"147",3119,4
"148",3086,3
"149",2014,3.1
"150",3094,2.6
"151",3091,3.7
"152",3099,3
"153",3100,3.1
"154",3101,2.6
"155",3105,3.5
"156",3122,1.4
"157",3113,2.3
"158",3109,3.3
"159",3112,3.1
"160",3108,2.4
"161",3121,2.9
"162",3123,3.9
"163",3125,2.2
"164",3129,3.4
"165",3118,2.4
"166",3134,3.7
"167",3116,3.1
"168",3131,3.6
"169",3130,1.7
"170",3124,3.3
"171",3128,3.7
"172",3133,3.6
"173",3120,2.1
"174",3127,2.5
"175",3126,2.7
"176",2017,3.4
"177",1028,3.7
"178",2015,3.6
"179",2022,2.1
"180",2016,3.6
"181",2019,3.2
"182",1029,NA
"183",1030,NA
"184",3132,3.5
"185",3999,NA
"186",2018,2.1
"187",1027,2.1
"188",3135,3.6
"189",3136,4
"190",2021,2.1
"191",2020,4.5
"192",1031,NA
"193",2023,4.1
"194",2038,3.6
"195",1035,NA
"196",1036,2.9
"197",1032,3.2
"198",2024,3.1
"199",1033,3.4
"200",1034,3.9
"201",1999,NA
"202",2025,2.8
"203",2027,2.5
"204",2028,1.8
"205",2108,3.4
"206",2109,1.1
"207",1037,NA
"208",2026,1
"209",3137,3
"210",3999,2.1
"211",2034,2.5
"212",2029,3.9
"213",2030,2.4
"214",3138,2
"215",3141,3.8
"216",2031,2.2
"217",1037,3.6
"218",3139,3.4
"219",3140,2.5
"220",1041,2.7
"221",2033,3.2
"222",2035,2.8
"223",1051,2.1
"224",2032,2.1
"225",1038,2.9
"226",1039,2.9
"227",3142,3.1
"228",1040,2.7
"229",1046,NA
"230",2037,4.1
"231",1074,1.4
"232",1048,NA
"233",2036,4.2
"234",1044,2.9
"235",1042,NA
"236",1999,NA
"237",1045,NA
"238",3143,3.5
"239",1043,NA
"240",2039,2.8
"241",1047,NA
"242",1050,4.1
"243",1049,3.1
"244",2040,2
"245",2041,3.2
"246",2999,NA
"247",1999,NA
"248",NA,NA
"249",NA,NA
"250",3144,3.4
"251",NA,NA
"252",2043,4.2
"253",2042,1.7
"254",3145,3.3
"255",1066,3.5
"256",2044,NA
"257",2051,3.1
"258",2046,2
"259",1055,3.8
"260",2045,NA
"261",2055,NA
"262",1052,2.4
"263",2045,2.5
"264",1056,2.4
"265",2047,2.4
"266",2048,1.8
"267",1053,1.4
"268",1054,2.6
"269",1060,2.4
"270",2067,3.1
"271",1061,2.2
"272",1058,NA
"273",1059,3.6
"274",3147,3.3
"275",2059,1.8
"276",1062,NA
"277",1057,2.7
"278",2049,4.1
"279",2060,3.4
"280",2061,2.7
"281",1068,2.5
"282",3146,3.4
"283",2050,3
"284",1067,3
"285",2057,3
"286",2053,4.1
"287",2054,3.2
"288",1063,NA
"289",1064,NA
"290",1065,3.2
"291",2052,3.2
"292",2056,3
"293",2066,2.2
"294",1072,NA
"295",2064,3.1
"296",2058,3.1
"297",1073,3.4
"298",3153,3.2
"299",2062,3.3
"300",3158,2.7
"301",3149,2.1
"302",3154,2.3
"303",3150,3.2
"304",3155,3
"305",2068,1.7
"306",2065,4.5
"307",3152,3.6
"308",3148,2.7
"309",1070,2
"310",3151,2.8
"311",2078,2.9
"312",2079,2.7
"313",2069,3.9
"314",1069,4
"315",2074,3.3
"316",1078,NA
"317",2073,1.9
"318",2076,3.5
"319",1071,1.5
"320",2071,2.9
"321",2072,2
"322",2070,4.1
"323",2077,1.8
"324",3156,3.8
"325",3157,3.3
"326",NA,NA
"327",2075,3.2
"328",1075,2.6
"329",1079,3.2
"330",1077,1.6
"331",1076,1.4
"332",2083,3.4
"333",2084,2.3
"334",2081,2.4
"335",1098,2.3
"336",1080,3.1
"337",1112,NA
"338",1099,1.4
"339",1116,NA
"340",1113,NA
"341",1083,NA
"342",1084,NA
"343",1095,2.4
"344",2094,2.1
"345",NA,NA
"346",1103,NA
"347",1086,2.3
"348",2099,2.5
"349",1085,2.7
"350",1088,2.1
"351",1100,1.9
"352",2093,2.7
"353",2089,3
"354",1091,NA
"355",1090,3.2
"356",1081,2.1
"357",1119,NA
"358",1121,NA
"359",1110,NA
"360",1087,3.7
"361",1092,4.4
"362",2080,3.2
"363",2087,2.3
"364",2086,1.9
"365",1089,NA
"366",2085,2.5
"367",NA,1.3
"368",2091,2.1
"369",2090,2.4
"370",2082,3.3
"371",1123,2.5
"372",1096,2.6
"373",1106,1.3
"374",2092,2.7
"375",1107,3.1
"376",1094,2.8
"377",1082,NA
"378",1097,NA
"379",2095,NA
"380",1093,3.9
"381",1105,NA
"382",2100,2.2
"383",1125,2.8
"384",2096,3.4
"385",2097,2.2
"386",1101,NA
"387",3999,NA
"388",1114,2.6
"389",1104,NA
"390",1110,2.6
"391",2103,4.2
"392",1117,3.5
"393",1116,2.2
"394",1102,2.6
"395",1108,2.5
"396",2102,2.6
"397",2105,1.9
"398",2107,2.4
"399",2101,4.3
"400",1109,4.2
"401",1111,2
"402",1122,NA
"403",2106,2.4
"404",1115,1.2
"405",2104,1.7
"406",1118,1.5
"407",3999,2.7
"408",1124,NA
"409",2110,2.9
"410",2111,NA
"411",NA,NA
"412",2113,2.5
"413",2122,2.3
"414",2111,3.7
"415",2123,2.7
"416",1129,4.1
"417",2114,3
"418",1126,2.6
"419",1128,2.6
"420",2113,4.5
"421",2118,1.9
"422",1999,NA
"423",2112,3.9
"424",2130,2.6
"425",2115,3.1
"426",2116,4.2
"427",2124,3.7
"428",2088,2.5
"429",2129,3.5
"430",2120,2.7
"431",2117,2.6
"432",2098,3.2
"433",2127,2.2
"434",2119,3
"435",2121,3.7
"436",NA,NA
"437",1132,3
"438",2126,3.2
"439",2125,4.2
"440",2128,2.5
"441",1131,2.1
"442",1130,4.1
"443",2128,NA
"444",NA,NA
"445",NA,NA
"446",NA,NA
"447",NA,NA
"448",NA,NA
"449",NA,NA
